	Age	Sex	Job	Housing	Saving accounts	Checking account	Credit amount	Duration	Purpose	Risk
0	67	1	2	2	0	1	1169	6	5	1
1	22	0	2	2	1	2	5951	48	5	0
2	49	1	1	2	1	0	2096	12	3	1
3	45	1	2	0	1	1	7882	42	4	1
4	53	1	2	0	1	1	4870	24	1	0
5	35	1	1	0	0	0	9055	36	3	1
6	53	1	2	2	3	0	2835	24	4	1
7	35	1	3	1	1	2	6948	36	1	1
8	61	1	1	2	4	0	3059	12	5	1
9	28	1	3	2	1	2	5234	30	1	0
10	25	0	2	1	1	2	1295	12	1	0
11	24	0	2	1	1	1	4308	48	0	0
12	22	0	2	2	1	2	1567	12	5	1
13	60	1	1	2	1	1	1199	24	1	0
14	28	0	2	1	1	1	1403	15	1	1
15	32	0	1	2	2	1	1282	24	5	0
16	53	1	2	2	0	0	2424	24	5	1
17	25	1	2	2	0	1	8072	30	0	1
18	44	0	3	0	1	2	12579	24	1	0
19	31	1	2	2	3	0	3430	24	5	1
20	48	1	2	2	1	0	2134	9	1	1
21	44	1	2	1	3	1	2647	6	5	1
22	48	1	1	1	1	1	2241	10	1	1
23	44	1	2	2	2	2	1804	12	1	1
24	26	1	2	2	0	0	2069	10	4	1
25	36	1	1	2	1	1	1374	6	4	1
26	39	1	1	2	1	0	426	6	5	1
27	42	0	2	1	4	4	409	12	5	1
28	34	1	2	2	1	2	2415	7	5	1
29	63	1	2	2	1	1	6836	60	0	0
30	36	1	2	2	4	2	1913	18	0	1
31	27	1	2	2	1	1	4020	24	4	1
32	30	1	2	2	2	2	5866	18	1	1
33	57	1	1	1	0	0	1264	12	0	1
34	33	0	3	2	1	4	1474	12	4	1
35	25	1	1	2	1	2	4746	45	5	0
36	31	1	2	0	1	0	6110	48	3	1
37	37	1	2	2	1	4	2100	18	5	0
38	37	1	2	2	1	4	1225	10	2	1
39	24	1	2	2	1	2	458	9	5	1
40	30	1	3	2	3	0	2333	30	5	1
41	26	1	2	2	3	2	1158	12	5	1
42	44	1	1	2	1	2	6204	18	6	1
